SET DEFINE OFF;
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (1, '서울특별시', '강남구', 37.4979, 127.0276);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (2, '서울특별시', '강동구', 37.5301, 127.1238);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (3, '서울특별시', '강북구', 37.6396, 127.0257);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (4, '서울특별시', '강서구', 37.5509, 126.8495);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (5, '서울특별시', '관악구', 37.4784, 126.9516);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (6, '서울특별시', '광진구', 37.5384, 127.0826);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (7, '서울특별시', '구로구', 37.4955, 126.8873);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (8, '서울특별시', '금천구', 37.4558, 126.8958);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (9, '서울특별시', '노원구', 37.6540, 127.0568);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (10, '서울특별시', '도봉구', 37.6688, 127.0477);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (11, '서울특별시', '동대문구', 37.5740, 127.0396);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (12, '서울특별시', '동작구', 37.5027, 126.9487);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (13, '서울특별시', '마포구', 37.5602, 126.9088);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (14, '서울특별시', '서대문구', 37.5792, 126.9355);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (15, '서울특별시', '서초구', 37.4835, 127.0164);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (16, '서울특별시', '성동구', 37.5612, 127.0378);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (17, '서울특별시', '성북구', 37.5891, 127.0195);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (18, '서울특별시', '송파구', 37.5146, 127.1057);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (19, '서울특별시', '양천구', 37.5170, 126.8669);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (20, '서울특별시', '영등포구', 37.5244, 126.8964);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (21, '서울특별시', '용산구', 37.5324, 126.9904);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (22, '서울특별시', '은평구', 37.6176, 126.9227);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (23, '서울특별시', '종로구', 37.5730, 126.9794);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (24, '서울특별시', '중구', 37.5636, 126.9976);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (25, '서울특별시', '중랑구', 37.6060, 127.0928);
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (1, '스포츠');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (2, '게임');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (3, '맛집');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (4, '문화');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (5, '힐링');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (6, '자기계발');
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (1, '4z3wyacj', 'h9^v$s9@^7ryc', '정하은', '즐거운햇살68', TO_DATE('1977-09-05', 'YYYY-MM-DD'), '010-2083-4804', '4z3wyacj@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (2, '47n3cpsyr4282chw7u', 'a2^^u!v0t4xs1y#v%', '윤현아', '귀여운산47', TO_DATE('1977-06-21', 'YYYY-MM-DD'), '010-6358-3565', '47n3cpsyr4282chw7u@naver.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (3, 'ex46746iw721x4p', 'e6@vf@s45', '이준영', '든든한꽃01', TO_DATE('1976-06-27', 'YYYY-MM-DD'), '010-0602-0917', 'ex46746iw721x4p@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (4, '8a9c9zuah8k203ip5ep2', 'y0!vs&5b', '김현희', '상냥한돌51', TO_DATE('1972-08-27', 'YYYY-MM-DD'), '010-3648-3557', '8a9c9zuah8k203ip5ep2@hanmail.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (5, 'pzu3', 'q0$)5%$dh8!', '윤주은', '상냥한별64', TO_DATE('1990-08-11', 'YYYY-MM-DD'), '010-0063-7004', 'pzu3@gmail.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (6, '352pnr7ke84', 'l6^&pr77g!m3', '이도희', '활발한바람05', TO_DATE('1992-04-13', 'YYYY-MM-DD'), '010-5429-0374', '352pnr7ke84@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (7, 'udz5x', 'n1@(0#x$%8c', '이준영', '재미있는나무87', TO_DATE('1999-05-28', 'YYYY-MM-DD'), '010-4173-4190', 'udz5x@daum.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (8, '15vw5co95d5', 'c5$9k99p2', '최예호', '용감한바람06', TO_DATE('2000-08-16', 'YYYY-MM-DD'), '010-4426-0113', '15vw5co95d5@daum.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (9, '3t53t3fg', 'm1@0)wwfl', '김지진', '유쾌한모래20', TO_DATE('1981-11-24', 'YYYY-MM-DD'), '010-6409-7526', '3t53t3fg@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (10, 'jzsxog9je36q8', 'h6$i!1e%0x^1', '임현영', '상냥한숲03', TO_DATE('1976-01-25', 'YYYY-MM-DD'), '010-1488-9380', 'jzsxog9je36q8@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (11, '38zk15d19', 'k6^&98c1&2i^8', '장예아', '재미있는바람12', TO_DATE('1994-09-01', 'YYYY-MM-DD'), '010-8480-1467', '38zk15d19@gmail.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (12, '94coh2420h236gx', 'c7^t$*45%8', '최민영', '똑똑한숲30', TO_DATE('1990-08-26', 'YYYY-MM-DD'), '010-6079-8360', '94coh2420h236gx@gmail.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (13, '24z06w0py4a49nh', 'z1@(x9@8fbpg)d6#g', '윤도영', '똑똑한바람79', TO_DATE('1977-05-27', 'YYYY-MM-DD'), '010-8357-6867', '24z06w0py4a49nh@daum.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (14, 'ax2r0hs07m4', 'n9!!0o7b5*$0(0y9', '박현연', '귀여운숲86', TO_DATE('1988-06-24', 'YYYY-MM-DD'), '010-5498-8529', 'ax2r0hs07m4@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (15, '517616kc8', 'v1(3e&31k()', '이하영', '용감한사자25', TO_DATE('1993-09-17', 'YYYY-MM-DD'), '010-3032-3053', '517616kc8@naver.com', 'F', 'basicProfile.png', default, 0);
